Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2331.3462571428568
FDW14,OUT017,1181.5096571428571
NCN55,OUT010,420.0246857142856
FDQ58,OUT017,2674.0430285714287
FDY38,OUT027,6397.577085714286
FDH56,OUT046,2314.1305714285713
FDL48,OUT018,1691.036885714286
FDC48,OUT027,1832.566942857143
FDN33,OUT045,1870.3273142857142
FDA36,OUT017,2399.5432
FDT44,OUT017,1947.7503428571429
FDQ56,OUT045,1457.9117714285715
NCC54,OUT019,498.11351428571425
FDU11,OUT049,2572.4609714285716
DRL59,OUT013,877.9999714285715
FDM24,OUT049,3619.1936857142855
FDI57,OUT045,2391.2682571428572
DRC12,OUT018,3256.903371428572
NCM42,OUT027,2416.854
FDA46,OUT010,492.8822285714286
FDA31,OUT013,2862.1790857142855
NCJ31,OUT035,2314.1305714285713
FDG52,OUT046,2057.226885714286
NCL19,OUT019,284.2014857142857
FDS10,OUT035,3132.779228571428
FDX22,OUT010,384.26171428571433
NCF19,OUT035,1344.4404285714286
NCE06,OUT046,3241.589971428572
DRC27,OUT046,3453.219257142857
FDE21,OUT035,2153.292314285714
NCR42,OUT019,254.14537142857145
FDX51,OUT018,2188.8650571428575
NCR06,OUT018,967.6927428571429
FDU31,OUT027,5739.005771428571
FDU59,OUT017,2281.6966
FDR03,OUT027,6604.355542857143
FDS49,OUT027,2498.176714285714
FDD48,OUT010,251.10171428571428
NCF18,OUT017,3273.4532571428576
NCD43,OUT027,2163.279314285714
NCD54,OUT018,2136.4570857142858
FDY19,OUT010,241.78051428571425
NCY54,OUT017,2248.1212571428573
NCL19,OUT018,2148.631714285714
FDP23,OUT010,497.73305714285726
FDC26,OUT013,1895.3423714285714
FDR14,OUT010,285.2477428571429
NCS41,OUT035,2910.592257142857
FDF41,OUT035,4244.475
FDU34,OUT046,1912.7482857142857
DRH11,OUT046,1140.6105142857143
FDM03,OUT013,1392.2829142857142
FDS31,OUT017,2920.674371428571
FDJ20,OUT017,1734.2187714285715
FDV44,OUT027,4318.664142857144
FDG02,OUT049,2438.6351714285715
FDA09,OUT013,3105.4814285714283
FDT04,OUT013,950.9526285714285
FDL58,OUT019,449.0345428571428
FDE52,OUT045,1331.4097714285713
FDW12,OUT035,2303.382657142857
FDL51,OUT017,2837.924942857143
NCY42,OUT027,2903.458685714286
FDR07,OUT017,1862.3377142857141
FDN40,OUT045,2212.4534
FDB35,OUT027,2797.3111428571433
FDA22,OUT017,3277.2578285714285
NCL06,OUT046,2739.1012
FDI35,OUT013,3089.787571428572
NCW42,OUT045,3059.5412285714287
NCX06,OUT049,2908.2144000000003
FDC37,OUT027,2405.5354
FDZ14,OUT018,2109.2544000000003
DRG49,OUT049,3914.2381999999993
NCG06,OUT045,3074.474171428571
DRC36,OUT045,2003.772657142857
FDV21,OUT019,258.61574285714283
FDB53,OUT046,2537.1735714285714
DRP47,OUT019,248.62874285714284
FDA14,OUT013,1978.2820285714286
DRC24,OUT035,2478.2027142857146
FDW21,OUT018,1182.6510285714287
NCH29,OUT046,2205.414942857143
FDU58,OUT013,2436.6377714285713
FDY27,OUT017,2009.764857142857
FDV56,OUT035,1805.364257142857
FDT59,OUT046,3917.5672
FDB23,OUT046,2120.4778857142855
FDR49,OUT045,1189.1188000000002
FDB03,OUT010,552.3286571428571
FDN39,OUT045,2594.242142857143
FDX02,OUT027,6112.7098
FDQ16,OUT027,2074.4425714285712
FDU35,OUT018,2360.736571428571
NCT29,OUT013,2047.6203428571428
FDZ27,OUT046,933.6418285714286
FDN57,OUT017,2423.5119999999997
FDA03,OUT018,1425.5729142857142
FDZ36,OUT045,3238.2609714285713
NCU05,OUT013,1271.1073142857144
FDT39,OUT018,2213.689885714286
FDK60,OUT017,1439.2693714285713
FDZ25,OUT017,2787.419257142857
FDG12,OUT046,1959.9249714285713
DRB01,OUT019,542.4367714285714
NCC43,OUT027,5310.040342857143
FDX13,OUT019,604.7366285714286
FDM22,OUT049,1060.0487142857144
FDJ03,OUT027,2580.260342857143
FDU14,OUT018,4217.462542857143
FDB33,OUT010,408.9914285714285
FDP27,OUT046,2788.9410857142857
FDO38,OUT010,269.26854285714285
FDE28,OUT027,4822.6747428571425
FDO27,OUT035,1777.1153142857142
DRL23,OUT027,3018.451857142857
FDS28,OUT046,1242.3827999999999
FDX24,OUT013,1141.1812
FDZ02,OUT035,1754.2878857142857
FDL46,OUT045,1415.3956857142857
FDS60,OUT027,3883.326057142857
NCO06,OUT017,965.9806857142858
FDO16,OUT035,1903.0466285714285
FDC60,OUT049,1547.7947714285713
FDA48,OUT018,2222.725742857143
FDZ36,OUT027,4935.6705142857145
FDK27,OUT045,1605.4340285714284
FDW23,OUT018,1356.329714285714
FDM14,OUT018,1648.806142857143
FDM14,OUT013,1429.2823714285714
FDW60,OUT018,3229.7006857142856
FDE21,OUT013,2639.897
NCM42,OUT035,2112.012714285714
FDY59,OUT010,251.10171428571428
DRI49,OUT049,1411.7813428571428
FDT28,OUT019,225.51597142857145
FDQ22,OUT018,1207.8563142857145
FDR60,OUT049,1533.717857142857
FDC50,OUT019,295.1396285714286
FDV24,OUT013,2288.3545999999997
DRF48,OUT010,405.2819714285714
FDQ47,OUT046,2520.148114285714
DRN36,OUT049,1360.514742857143
NCY06,OUT035,2260.391
FDE52,OUT035,1436.3208285714288
NCB54,OUT045,1953.7425428571428
NCF31,OUT035,2136.7424285714287
FDJ08,OUT027,4862.908085714285
NCC07,OUT017,2168.7008285714282
NCD19,OUT027,1603.626857142857
FDL46,OUT049,2159.7600857142857
FDM20,OUT045,3052.2174285714286
NCI06,OUT010,309.97745714285713
DRM11,OUT035,3349.925142857143
NCH07,OUT018,1866.2373999999998
FDS23,OUT013,1978.5673714285715
FDO49,OUT018,2190.8624571428572
FDS35,OUT049,2475.159057142857
DRK39,OUT045,1142.7981428571427
DRI39,OUT049,1058.3366571428571
FDV04,OUT017,1897.7202285714284
NCN14,OUT035,2314.1305714285713
FDH08,OUT013,4135.378914285714
FDS20,OUT046,2792.5554285714284
FDV40,OUT049,1407.3109714285715
FDZ48,OUT010,287.24514285714287
FDS24,OUT027,2679.940114285714
FDK44,OUT049,2498.5571714285716
FDS48,OUT045,2129.608857142857
FDK26,OUT010,248.4385142857143
FDD23,OUT045,2447.7661428571423
NCH54,OUT017,3074.759514285714
NCP14,OUT010,273.1682285714286
FDM60,OUT010,163.6916857142857
FDV24,OUT017,2580.926142857142
FDH08,OUT018,2700.389685714286
FDS12,OUT027,4026.5681714285715
FDR39,OUT027,4572.238828571429
FDP12,OUT027,2467.8352571428572
DRF60,OUT027,5391.267942857144
FDC09,OUT035,1937.7633428571428
FDF50,OUT018,2756.5071142857137
FDG28,OUT035,3572.4925714285714
NCE19,OUT017,896.0716857142858
NCM53,OUT010,302.93899999999996
NCN18,OUT049,1918.455142857143
FDF32,OUT035,3444.563857142857
FDF11,OUT013,3243.016685714286
DRI59,OUT049,2926.4763428571428
NCG54,OUT035,3454.075285714286
FDM44,OUT046,1883.4530857142856
FDT57,OUT018,3167.0203714285713
FDV24,OUT046,2148.5366
FDI50,OUT019,455.69254285714277
FDS09,OUT035,1213.7533999999998
NCC31,OUT027,3704.4160857142856
FDQ07,OUT019,416.69568571428573
FDC22,OUT017,2744.047142857143
